# Calibration cellule de force — INA125 avec Rg = 330 ohm
#
# Une ligne par point : <tension_volts> <force_newtons>
#   - séparateur : espace, tabulation ou virgule
#   - les lignes vides et celles commençant par # sont ignorées
#   - interpolation linéaire
#
# Données issues de calibration expérimentale (Mean oscilloscope)

# volts    newtons
0.0610     0.00
0.0920     3.36
0.1159     5.03
0.1362     6.12
0.1746     8.07
0.2109     10.20
0.2524     12.08
0.2820     14.04
0.3169     16.30
0.3570     18.08
0.3884     20.20
